x,y
669,-0.09097966259560586
670,-0.11013327587685495
671,-0.12449848632812355
672,-0.14365209960937442
673,-0.16759411572060579
674,-0.20111293945312347
675,-0.20111293945312347
676,-0.2154781489237294
677,-0.22505495556435484
678,-0.25378537548622937
679,-0.2825157954081057
680,-0.3064578124999997
681,-0.3112462153299802
682,-0.32082302197060564
683,-0.3303998286112293
684,-0.32082302197060564
685,-0.29209260204872933
686,-0.25378537548622937
687,-0.25378537548622937
688,-0.27293898876748024
689,-0.3591302485331056
690,-0.4357447016581055
691,-0.5458779785156249
692,-0.6512228515624994
693,-0.7038952875956053
694,-0.7757213378906247
695,-0.7948749511718738
696,-0.7757213378906247
697,-0.6991068847656248
698,-0.54108957470498
699,-0.3734954589843742
700,-0.14844050243935492
701,0.13407529296875076
702,0.45010991701270164
703,0.804451757812501
704,1.1109095703125007
705,1.2928689013877026
706,1.3503297412314517
707,1.2928689013877026
708,1.1013327685752028
709,0.8523357959189521
710,0.6033388232627015
711,0.3926490771689526
712,0.3064578125000015
713,0.2873041992187506
714,0.2681505859375015
715,0.19153613281249982
716,0.07661445312499993
717,-0.04309562939248046
718,-0.12449848632812355
719,-0.22026655273437434
720,-0.3543418457031251
721,-0.47884033203124865
722,-0.4884171386718741
723,-0.34955344189248017
724,-0.11013327587685495
725,0.16280571779395103
726,0.31603462404395266
727,0.3830722656250014
728,0.31603462404395266
729,0.2777273974814527
730,0.19153613281249982
731,0.0957680664062508
732,0.02873042482520205
733,-0.02394201611122959
734,-0.057460839843749056
735,-0.06703764648437449
736,-0.11492167968749989
737,-0.22026655273437434
738,-0.29209260204872933
739,-0.3543418457031251
740,-0.36870705517372926
741,-0.39264907226562507
742,-0.4357447016581055
743,-0.47884033203124865
744,-0.5363011718749995
745,-0.6224924316406248
746,-0.6991068847656248
747,-0.7517793207987307
748,-0.7757213378906247
749,-0.8044517578124992
750,-0.7996633540018543
751,-0.8044517578124992
752,-0.8140285644531247
753,-0.8331821777343738
754,-0.8523357910156246
755,-0.9050082270487305
756,-0.9433154536112305
757,-1.0199299067362304
758,-1.0534487304687499
759,-1.048660326658105
760,-1.01514150390625
761,-0.9911994868143559
762,-0.9624690668924796
763,-0.8954314204081051
764,-0.8475473872049797
765,-0.7709329340799798
766,-0.7326257075174798
767,-0.7038952875956053
768,-0.6943184809549798
769,-0.6751648676737307
770,-0.6799532714843739
771,-0.6560112543924799
772,-0.6224924316406248
773,-0.5746083984374994
774,-0.5937620117187485
775,-0.565031591796874
776,-0.54108957470498
777,-0.45968671874999956
778,-0.33518823242187423
779,-0.2154781489237294
780,-0.08619125976562358
781,0.01915361328125087
782,0.13407529296875076
783,0.22984335937500155
784,0.31603462404395266
785,0.3926490771689526
786,0.42137949218750137
787,0.43095630373145255
788,0.45010991701270164
789,0.43095630373145255
790,0.42137949218750137
791,0.34476503906250144
792,0.23942017091895273
793,0.15322890624999985
794,0.12449849123145107
795,0.15322890624999985
796,0.23942017091895273
797,0.45010991701270164
